key,message,comment,context
"%d times",%d回,,
+33000000000,+33000000000,,
+33100000000,+33100000000,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa-facebook'href=' http://www.facebook.com' target='_blank'/>",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa-google'href=' http://www.google.com' target='_blank'/>",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa-linkedin'href=' http://www.linkedin.com' target='_blank'/>",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa-twitter'href=' http://www.twitter.com' target='_blank'/>",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa-youtube'href=' http://www.youtube.com' target='_blank'/>",,
"<span class='label label-warning'>The selected date is in the past.</span>","<span class='label label-warning'> 選択した日付は過去の日付です。</span></span>",,
"<span class='label label-warning'>There is already a lead with this name.</span>","<span class='label label-warning'> この名前の案件は既に存在します。</span></span>",,
"<span style=""height:21px; line-height: 21px; margin-top:18px; display:inline-block"">VS</span>","<span style=height:21ピクセル;ラインの高さ:21 px;margin-top:18ピクセル;表示:インラインブロック> VS</span>",,
"A lost reason must be selected",失われた理由を選択する必要があります,,
Action,アクション,,
Activities,アクティビティ,,
Add,追加,,
"Add a guest",ゲストの追加,,
Address,住所,,
"After n repetitions",n回繰り返した後,,
"All past events",すべての過去のイベント,,
"All upcoming events",今後のすべてのイベント,,
"All users",すべてのユーザー,,
Amount,金額,,
"Amount Won",金額,,
"Amount won",金額,,
"App Crm",アプリケーションカーブ,,
"Apply changes to all recurrence's events",すべての定期的なイベントに変更を適用する,,
"Apply changes to this event only",このイベントのみに変更を適用,,
"Apply modifications",変更の適用,,
"Apply modifications for all",すべてに変更を適用,,
"Are you sure you want to convert the lead?",リードを変換しますか?,,
"Assign to",割り当て先,,
"Assign to me",自分に割り当てる,,
"Assignable Users",割り当て可能なユーザー,,
Assigned,割り当て済み,,
"Assigned to",割り当て先,,
"At specific date",特定の日付,,
"At the date",日付,,
Attendee,出席者,,
Available,使用可能,,
"Average duration between lead and first opportunity (days)","引合から最初の商談までの平均期間 (日数)",,
Batchs,バッチ,,
"Before start date",開始日より前,,
"Best Open Deals",ベスト・オープン・ディール,,
"Best case",ベストケース,,
Busy,ビジー,,
CRM,CRM,,
"CRM Activities",CRM活動,,
"CRM Batch",CRMバッチ,,
"CRM batches",CRMバッチ,,
"CRM config",CRM設定,,
"CRM config (${ name })","CRM設定 (${name})",,
"CRM configuration",CRM設定,,
"CRM configurations",CRM設定,,
"CRM events",CRMイベント,,
Call,コール,,
"Call emitted Nbr",コールが発信されたNo.,,
"Call emitted Nbr.",コールがNo.を発信しました,,
"Call emitted historical",コールの発信履歴,,
"Call filters",コールフィルタ,,
"Call reminder template",呼び出しリマインダテンプレート,,
"Call type",コールタイプ,,
Calls,コール,,
"Calls Dashboard",ダッシュボードを呼び出す,,
"Calls Db",コールDb,,
"Calls by team by user",ユーザ別チームコール,,
"Calls by user(of a team)","ユーザーによる呼び出し (チームの)",,
"Calls emitted historical",過去に発生したコール,,
"Calls emitted target completed (%)","発生したコールのターゲットが完了しました (%)",,
"Calls held by team by type",チームがタイプ別に保持するコール,,
"Calls held by type by user",ユーザーがタイプ別に保持するコール,,
"Calls type by team",チーム別のコールタイプ,,
"Calls type by user",ユーザー別コール・タイプ,,
"Cancel this reminder",このアラームを取り消す,,
Canceled,キャンセル済み,,
Cases,事例,,
Category,種別,,
Characteristics,特徴,,
Chart,グラフ,,
"Check duplicate",重複をチェック,,
City,市町村,,
Civility,シビティー,,
"Closed Opportunities",クローズされたOpportunity,,
"Closed Won",終了したウォン,,
"Closed lost",クローズ損失,,
"Closed won",終了したウォン,,
Code,コード,,
Company,会社,,
Configuration,構成,,
"Confirm lost reason",紛失理由の確認,,
Contact,連絡先,,
"Contact date",連絡日,,
"Contact details",連絡先の詳細,,
"Contact function",接触関数,,
"Contact name",連絡先名,,
Contacts,連絡先,,
Convert,変換,,
"Convert lead",リード線の変換,,
"Convert lead (${ fullName })","リード線の変換 (${fullName})",,
"Convert lead into contact",リード線を接点に変換する,,
"Convert lead into partner",リードをパートナーに変換,,
Converted,変換済み,,
Country,国,,
"Create a new reminder",新しいアラームを作成する,,
"Create a quotation",見積の作成,,
"Create event",イベントの作成,,
"Create new contact",新しい連絡先の作成,,
"Create new partner",新しいパートナーの作成,,
"Create opportunity",オポチュニティの作成,,
"Create opportunity (${ fullName })","オポチュニティの作成 (${fullName})",,
"Create order (${ fullName })","受注の作成 (${fullName})",,
"Create purchase quotation",購入見積もりの作成,,
"Create sale quotation",販売見積もりの作成,,
"Created Nbr",作成されたNo.,,
"Created Nbr.",No.を作成しました,,
"Created Won",作成元,,
"Created by",作成者,,
"Created leads by industry sector",産業部門別に作成されたリード,,
"Created leads per month",毎月作成される引合,,
"Created leads with at least one opportunity",1つ以上の商談を持つ引合の作成,,
"Created on",作成日,,
"Crm batch",CRMバッチ,,
Currency,通貨,,
Customer,顧客,,
"Customer Description",お客様の説明,,
"Customer fixed phone",お客様固定電話,,
"Customer mobile phone",お客様の携帯電話,,
"Customer name",顧客名,,
"Customer recovery",お客様のリカバリ,,
Customers,お客さま,,
Daily,毎日,,
"Daily team call summary by user",ユーザーごとの毎日のチームコールの概要,,
Dashboard,ダッシュボード,,
"Day of month",月の日,,
"Day of week",曜日,,
Days,日数,,
"Delete all events",すべてのイベントを削除,,
"Delete only this event",このイベントのみを削除,,
"Delete this and next events",このイベントと次のイベントを削除する,,
"Delivery Address",配送先住所,,
Dep./Div.,Dep./Div.,,
Description,説明,,
"Display customer description in opportunity",オポチュニティにお客様の説明を表示,,
Duration,期間,,
"Duration type",期間の種類,,
Email,Eメール,,
Emails,電子メール,,
End,終点,,
"End date",終了日,,
"End date cannot be inferior to start date",終了日を開始日より後にすることはできません,,
Enterprise,エンタープライズ,,
"Enterprise name",エンタープライズ名,,
"Error in lead conversion",リード変換エラー,,
"Estimated budget",概算予算,,
Event,イベント,,
"Event Categories",イベントカテゴリ,,
"Event Dashboard 1",イベント・ダッシュボード1,,
"Event Db",イベントDb,,
"Event categories",イベントカテゴリ,,
"Event category",イベントカテゴリ,,
"Event configuration categories",イベント設定カテゴリ,,
"Event filters",イベントフィルタ,,
"Event reminder",イベント通知,,
"Event reminder %s",イベント通知%s,,
"Event reminder batch",イベント通知バッチ,,
"Event reminder page",イベント通知ページ,,
"Event reminder template",イベント通知テンプレート,,
"Event reminders",イベントの通知,,
"Event's reminder's generation's reporting :",イベントのリマインダ生成のレポート:,,
Events,行事,,
"Every %d days",%d日ごと,,
"Every %d months the %d",%dか月ごとに%d,,
"Every %d weeks",%d週間ごと,,
"Every %d years the %s",%d年ごとに%s,,
"Every day",毎日,,
"Every month",毎月,,
"Every month the",毎月,,
"Every week",毎週,,
"Every year",毎年,,
"Every year the",毎年,,
"Expected close date",締切予定日,,
Fax,ファクス,,
Finished,完了,,
"First name",名,,
"Fixed Phone",固定電話,,
"Fixed phone",固定電話,,
"Follow up",フォローアップ,,
Follow-up,フォローアップ,,
"For all",すべて,,
"For me",私のために,,
Fr,フランス,,
"Free text",フリーテキスト,,
"From Date",日付:自,,
"From date must be less than the to date",開始日は終了日より前でなければなりません,,
Function,機能,,
"General contact details",一般的な連絡先の詳細,,
"Generate CRM configurations",CRM構成の生成,,
"Generate Project",プロジェクトを生成,,
"Groups Assignable",グループ割り当て可能,,
Guests,ゲスト,,
High,高,,
"Historical Period",歴史時代,,
"Historical events completed",史実の成立,,
Hours,時間,,
"Import lead",リードのImport,,
"Import leads",リードのImport,,
"In process",処理中,,
Incoming,着信,,
"Industry Sector",産業部門,,
"Industry sector",産業部門,,
Information,情報,,
"Input location please",場所を入力してください,,
"Invoicing Address",請求先所在地,,
"Job Title",役職,,
"Key accounts",主要勘定科目,,
"Last name",姓,,
Lead,リード,,
"Lead Assigned",リードの割り当て,,
"Lead Converted",リード変換済み,,
"Lead Dashboard 1",引合ダッシュボード1,,
"Lead Db",リードDb,,
"Lead Db 1","リードDb 1",,
"Lead converted",鉛換算,,
"Lead created",リードの作成,,
"Lead filters",鉛フィルター,,
Lead.address_information,住所情報,,
Lead.company,会社,,
Lead.email,Eメール,,
Lead.fax,ファクス,,
Lead.header,ヘッダ,,
Lead.industry,産業,,
Lead.lead_owner,リード・オーナー,,
Lead.name,名称,,
Lead.other_address,その他のアドレス,,
Lead.phone,電話No.,,
Lead.primary_address,プライマリアドレス,,
Lead.source,ソース,,
Lead.status,ステータス,,
Lead.title,タイトル,,
Leads,リード,,
"Leads Source",引合ソース,,
"Leads by Country",国別引合,,
"Leads by Salesperson by Status",ステータス別営業担当別引合,,
"Leads by Source",ソース別引合,,
"Leads by Team by Status",ステータス別チーム別引合,,
"Limit Date",制限日,,
Lose,失う,,
"Loss confirmation",損失の確認,,
Lost,失われた,,
"Lost reason",理由の消失,,
"Lost reasons",失われた理由,,
Low,低,,
MapRest.PinCharLead,L,,
MapRest.PinCharOpportunity,O,,
Marketing,マーケティング,,
Meeting,会議,,
"Meeting Nbr",ミーティングNo.,,
"Meeting Nbr.",No.とのミーティング,,
"Meeting filters",ミーティングフィルタ,,
"Meeting number historical",会議No.履歴,,
"Meeting reminder template",会議の事前通知テンプレート,,
"Meeting's date changed template",会議の日付変更テンプレート,,
"Meeting's guest added template",会議のゲストが追加されたテンプレート,,
"Meeting's guest deleted template",会議のゲストが削除されたテンプレート,,
Meetings,会議,,
"Meetings number historical",会議No.履歴,,
"Meetings number target completed (%)","ミーティング数目標達成率 (%)",,
Memo,メモ,,
Minutes,分,,
Mo,モ-,,
"Mobile N°",モバイルNo.,,
"Mobile phone",携帯電話,,
Month,月,,
Monthly,毎月,,
Months,月,,
"My Best Open Deals",私の・ベスト・オープン・ディール,,
"My CRM events",CRMイベント,,
"My Calendar",私の予定表,,
"My Calls",私のコール,,
"My Closed Opportunities",私のクローズ済商談,,
"My Current Leads",現在のリード,,
"My Key accounts",私のキーアカウント,,
"My Leads",私のリード,,
"My Meetings",私の会議,,
"My Open Opportunities",未解決のオポチュニティ,,
"My Opportunities",私の機会,,
"My Tasks",私のタスク,,
"My Team Best Open Deals",私の・チーム・ベスト・オープン・ディール,,
"My Team Calls",私のチームコール,,
"My Team Closed Opportunities",私のチームがクローズした商談,,
"My Team Key accounts",私のチームキーアカウント,,
"My Team Leads",私のチームリーダー,,
"My Team Meetings",私のチームミーティング,,
"My Team Open Opportunities","My Team Open Opportunity (私のチーム・オープン・チャンス)",,
"My Team Tasks",私のチームタスク,,
"My Today Calls",私の・トゥデイ・コール,,
"My Today Tasks",私の今日のタスク,,
"My Upcoming Meetings",今後のミーティング,,
"My Upcoming Tasks",私の今後のタスク,,
"My opportunities",私のチャンス,,
"My past events",私の過去の出来事,,
"My team opportunities",私のチームのチャンス,,
"My upcoming events",今後の予定,,
Name,名称,,
Negotiation,交渉,,
New,新規作成,,
"Next stage",次の段階,,
"Next step",次のステップ,,
"No lead import configuration found",リードImport構成が見つかりません,,
"No template created in CRM configuration for company %s, emails have not been sent",メールが送信されていません,,
Non-participant,非参加者,,
None,なし,,
Normal,標準,,
"Not started",開始していません,,
Objective,目的,,
"Objective %s is in contradiction with objective's configuration %s",目標%sは目標の構成%sと矛盾しています,,
Objectives,目的,,
"Objectives Configurations",目標設定,,
"Objectives Team Db",目標チームDb,,
"Objectives User Db",目標ユーザーDb,,
"Objectives configurations",目標の構成,,
"Objectives team Dashboard",目標チームダッシュボード,,
"Objectives user Dashboard",目標ユーザーダッシュボード,,
"Objectives' generation's reporting :",目標の世代のレポート:,,
"Office name",オフィス名,,
"On going",進行中,,
"Open Cases by Agents",担当者別オープン・ケース,,
"Open Opportunities",オポチュニティを開く,,
"Operation mode",操作モード,,
Opportunities,オポチュニティ,,
"Opportunities By Origin By Stage","Opportunity (ソース別、ステージ別)",,
"Opportunities By Sale Stage",販売ステージ別機会,,
"Opportunities By Source","Opportunity (ソース別)",,
"Opportunities By Type",タイプ別商談,,
"Opportunities Db 1","オポチュニティDb 1",,
"Opportunities Db 2","オポチュニティDb 2",,
"Opportunities Db 3","オポチュニティDb 3",,
"Opportunities Won By Lead Source",リード・ソースが獲得したオポチュニティ,,
"Opportunities Won By Partner",パートナーが獲得したオポチュニティ,,
"Opportunities Won By Salesman",セールスマンが勝ち取った機会,,
"Opportunities Won By Salesperson",セールス担当が獲得したオポチュニティ,,
"Opportunities amount won historical",過去に獲得したOpportunityの金額,,
"Opportunities amount won target competed (%)","獲得機会量 (%)",,
"Opportunities amount won target completed (%)","成約見込額 (%)",,
"Opportunities created number historical",Opportunity作成数履歴,,
"Opportunities created number target completed (%)","商談作成数ターゲット完了 (%)",,
"Opportunities created won historical",創出された機会が過去に獲得された,,
"Opportunities created won target completed (%)","作成された商談が目標を達成 (%)",,
"Opportunities filters",Opportunityフィルタ,,
Opportunity,オポチュニティ,,
"Opportunity Type",商談タイプ,,
"Opportunity created",Opportunityが作成されました,,
"Opportunity lost",機会損失,,
"Opportunity type",商談タイプ,,
"Opportunity types",商談タイプ,,
"Opportunity won",オポチュニティ獲得,,
"Optional participant",オプションの参加者,,
"Order by state",州別の順序,,
Organization,組織,,
Outgoing,発信,,
"Parent event",親イベント,,
"Parent lead is missing.",親リードがありません,,
Partner,パートナー,,
"Partner Details",パートナーの詳細,,
Pending,保留中,,
"Period type",期間タイプ,,
"Periodicity must be greater than 0",周期は0より大きくなければなりません,,
Picture,図,,
Pipeline,パイプライン,,
"Pipeline by Stage and Type",ステージおよびタイプ別パイプライン,,
"Pipeline next 90 days",今後90日間のパイプライン,,
Planned,計画済,,
"Please complete the contact address.",連絡先を記入してください,,
"Please complete the partner address.",パートナーアドレスを入力してください,,
"Please configure all templates in CRM configuration for company %s",会社%sのCRM設定のすべてのテンプレートを設定してください,,
"Please configure information for CRM for company %s",会社%sのCRMの情報を構成してください,,
"Please save the event before setting the recurrence",定期的なイベントを設定する前にイベントを保存してください,,
"Please select a lead",リードを選択してください,,
"Please select the Lead(s) to print.",印刷するリードを選択してください,,
"Postal code",郵便No.,,
Present,プレゼント,,
"Previous stage",前段階,,
"Previous step",前のステップ,,
"Primary address",プライマリアドレス,,
Print,印刷,,
Priority,優先度,,
"Probability (%)","確率 (%)",,
Proposition,プロポジション,,
Qualification,資格,,
Realized,実現,,
"Recent lost deals",最近の紛失案件,,
"Recently created opportunities",最近作成されたオポチュニティ,,
Recurrence,繰り返し,,
"Recurrence assistant",繰り返しアシスタント,,
"Recurrence configuration",繰り返しの設定,,
"Recurrence name",繰り返し名,,
Recurrent,繰り返し,,
Recycle,リサイクル,,
Recycled,リサイクル済み,,
Reference,参考,,
References,参考資料,,
"Referred by",参照者,,
