key,message,comment,context
Employee,従業員,,
"Enable timesheet on manuf order",手動順序でタイムシートを有効にする,,
Invoiced,請求済,,
"Manage business production",ビジネス・プロダクションの管理,,
"Manuf order",製造オーダ,,
"Manuf. Orders Selection","Manuf. Orders Selection",,
"Operation order",操作順序,,
Overview,概要,,
"Production orders",製造オーダー,,
Project,プロジェクト,,
"There are timesheet still waiting validation on this manuf order, do you want to continue anyway ?",このマニュアルオーダーの検証を待っているタイムシートがあります。続行しますか?,,
"There are timesheet still waiting validation on this operation order, do you want to continue anyway ?",タイムシートがこの処理オーダーの検証を待っています。続行しますか?,,
"Timesheet Line",タイムシート行,,
"Timesheet Lines",タイムシート行,,
"Timesheet imputed on",タイムシートの帰属先,,
"Timesheet imputed on manufacturing order",製造オーダーに帰属するタイムシート,,
"Timesheet imputed on project",プロジェクトに帰属するタイムシート,,
"Timesheet line",タイムシート行,,
"Timesheet lines",タイムシート行,,
"To Invoice",請求書へ,,
"To invoice",請求書へ,,
"Warning, this manuforder is finished",警告:このマニュアルは終了しました,,
"Warning, this manuforder is from another company.",警告:このマニュアルは他社製です,,
